neuron_type,group,observed,se
SR,CIT,0.6232043664422646,0.0028602543261156844
SR,DIS,0.4730431941983863,0.0026653368410751834
SR,SAL,0.5118708223172971,0.003047794605907715
SIR,CIT,0.5050139071612376,0.0028441570584761683
SIR,DIS,0.6415349213766841,0.002430754182679456
SIR,SAL,0.22819028565236898,0.00321504520891787
FF,CIT,0.6365141682948129,0.009528151501482182
FF,DIS,0.601142262321316,0.0050538141416258155
FF,SAL,0.627828168104977,0.004349133000581443
