neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,response_second_window
1069,169.0,31.0,0.41891129399091814,0.5706941196264804,0.15178282563556228,2512.5,8.149540528532691,False,non responder
1070,169.0,31.0,1.2643125099792636,2.6445738110953454,1.3802613011160818,1283.5,0.0005034618461701359,True,activated
1071,169.0,31.0,1.0480366715248104,1.8169085384587251,0.7688718669339147,1793.0,0.1536234246679399,False,non responder
1072,169.0,31.0,-0.25240313547225557,1.1256087785696511,1.3780119140419067,1476.5,0.006643304865219939,True,activated
1074,169.0,31.0,0.8619786008756652,1.4531552539604133,0.5911766530847481,1936.0,0.4864277170594668,False,non responder
1075,169.0,31.0,0.5824097772612976,1.2033251222627974,0.6209153450014998,1940.0,0.4864277170594668,False,non responder
1076,169.0,31.0,0.3708031694740379,1.0811366553800197,0.7103334859059818,1524.5,0.010326291481891724,True,activated
1078,169.0,31.0,0.472715911194229,1.3268053872953791,0.8540894761011502,1451.0,0.005084067836610164,True,activated
1079,169.0,31.0,-0.14244113123683705,-0.019576862420263515,0.12286426881657353,2340.5,3.543974498172803,False,non responder
1081,169.0,31.0,,,,,,False,non responder
1082,169.0,31.0,0.7156380883246926,1.4940651741896245,0.7784270858649319,1752.0,0.1057582773190626,False,non responder
1084,169.0,31.0,0.6925053645491176,0.5912158050537137,-0.10128955949540386,2771.0,5.842426246889812,False,non responder
1085,169.0,31.0,0.22326710197362618,1.3222591997727953,1.0989920977991692,1625.5,0.03315221963025049,True,activated
1087,169.0,31.0,0.11666900698073232,-0.25302334782300295,-0.3696923548037353,2935.5,3.4623564012118937,False,non responder
1088,169.0,31.0,0.06486512146073528,0.12026206204143344,0.05539694058069816,2576.5,6.6707253023462885,False,non responder
1093,169.0,31.0,0.12655088245312224,-0.1960672361050847,-0.32261811855820693,2865.5,5.558164156448012,False,non responder
1094,169.0,31.0,0.5078781542655063,0.5290883625322504,0.021210208266744135,2623.0,7.8175584194716,False,non responder
1095,169.0,31.0,-0.3103012672462548,-2.4273311638839337,-2.117029896637679,4118.5,4.8571659737252506e-05,True,inhibited
1098,169.0,31.0,0.9350429686314515,2.265591927076216,1.3305489584447643,1238.0,0.0002856371408546942,True,activated
1100,169.0,31.0,0.07847012962514362,0.16546877518155786,0.08699864555641425,2364.0,5.468157613063235,False,non responder
