neuron_id,oscillation,mean_angle,var,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst
1086,delta,1.19,0.8,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,,1.5070894002069783,1.000887620420174
1086,theta,-2.64,0.92,0.11,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,,1.5070894002069783,1.000887620420174
1087,delta,1.39,0.83,0.0,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,57.93710996534352,0.9527011111320612,1.0506205936317914
1087,theta,2.9,0.98,0.87,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,57.93710996534352,0.9527011111320612,1.0506205936317914
1088,delta,2.0,0.78,0.29,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,57.1032912552601,0.9403138765610186,0.9372310105409702
1088,theta,1.95,0.86,0.08,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,57.1032912552601,0.9403138765610186,0.9372310105409702
1089,delta,2.81,0.36,0.04,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,0.3935459091072775
1089,theta,0.93,0.13,0.17,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,0.3935459091072775
1093,delta,2.54,0.94,0.02,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.46123648441372,2.2416128020246147,0.779020150824688
1093,theta,-3.13,0.99,0.63,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.46123648441372,2.2416128020246147,0.779020150824688
1094,delta,1.76,0.93,0.68,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,52.77523402856056,0.968057557936516,0.8746362898388502
1094,theta,0.56,0.98,0.75,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,52.77523402856056,0.968057557936516,0.8746362898388502
1095,delta,-0.51,0.93,0.84,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,69.16536473215936,1.7599548644940937,0.8155416343312218
1095,theta,-1.53,0.89,0.7,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,69.16536473215936,1.7599548644940937,0.8155416343312218
1096,delta,1.45,0.1,0.26,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,72.34420490893757,,1.3844276035700966
1096,theta,-2.42,0.89,0.86,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,72.34420490893757,,1.3844276035700966
1098,delta,-1.95,0.94,0.26,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,33.29364232704984,0.9288512818792743,0.8660313920210936
1098,theta,1.43,0.94,0.01,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,33.29364232704984,0.9288512818792743,0.8660313920210936
1099,delta,1.06,0.94,0.92,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,1.0700146235331909,1.002437433785203
1099,theta,-2.68,0.81,0.25,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,1.0700146235331909,1.002437433785203
1100,delta,3.07,0.96,0.11,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,49.65141494446863,1.9721776648327416,0.5389844042423905
1100,theta,-2.33,0.97,0.13,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,49.65141494446863,1.9721776648327416,0.5389844042423905
1102,delta,-0.54,0.85,0.69,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,77.008631761945,1.0604405503344354,0.9577985853380804
1102,theta,0.47,0.62,0.4,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,77.008631761945,1.0604405503344354,0.9577985853380804
1105,delta,2.19,0.91,0.34,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.14432527733329,1.0843138341578076,0.9568026782270932
1105,theta,1.41,0.94,0.03,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.14432527733329,1.0843138341578076,0.9568026782270932
1106,delta,2.88,0.94,0.88,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,74.03603413537266,0.9171511056860628,0.3918257257979971
1106,theta,-1.55,0.86,0.15,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,74.03603413537266,0.9171511056860628,0.3918257257979971
1107,delta,1.35,0.97,0.46,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,61.532198841574456,1.848889889225928,0.423017663587326
