neuron_id,cv2_isi,is_buster,cv2_isi_burst,median_burst_interval,mean_firing_rate,mean_firing_rate_ifr,fraction_bursts,max_firing_rate,cv_firing_rate
1491,1.0925339099690963,False,1.0234919598952177,0.010599999999982401,1.125,1.1513762182604226,0.046419753086419754,58,0.22736928319854027
1492,1.7493356952768808,False,1.7493356952768808,,0.0044444444444444444,,0.0,4,0.1897958034210159
1493,0.27657055235478145,False,0.26733088795968063,0.010733333333348583,4.446111111111111,4.390267286742167,0.0033737348494314633,188,0.04927203980130907
1494,0.6496548409617936,False,0.5649067797088836,0.011483333333330847,7.769444444444445,7.589679819385268,0.04419020378977476,410,0.07436501758117182
1495,0.3770403754199135,False,0.3770403754199135,,3.045,2.979684547195434,0.0,131,0.08360578309819802
1496,0.4080877011580319,False,0.40385658484220066,0.014133333333347764,1.87,2.5087336169016834,0.0014854426619132501,123,0.48024382308756697
1497,0.323926422437072,False,0.2912182940569561,0.009933333333378869,5.145,5.10298801222382,0.011877766979807795,185,0.0294017445600594
1498,0.5894348432220019,False,0.5874369113525298,0.008133333333489645,0.7616666666666667,2.3284026351589606,0.0007293946024799417,109,0.6080847827411753
1499,0.4988905878561519,False,0.4988905878561519,,0.6244444444444445,1.217557065708668,0.0,77,0.5518589880509994
1500,0.9714658800580794,False,0.8610939860545507,0.009900000000016007,3.7305555555555556,3.5128465785881957,0.06895011169024572,257,0.15385957064959882
1501,0.7789609499171092,False,0.7742284141838198,0.013666666666637184,0.6211111111111111,1.0733018548960014,0.0017889087656529517,59,0.5262308453660085
1502,0.5999646139979276,False,0.5316850235503086,0.010433333333367045,4.75,4.8596551905288425,0.030058479532163743,239,0.17813946269778477
1503,1.0848354021835598,False,1.0590319617514397,0.007899999999835927,0.3194444444444444,0.6608753690212095,0.01217391304347826,26,0.5136565798954054
1504,0.32343380582755565,False,0.23948977204982894,0.00860000000011496,8.74388888888889,8.947924650372489,0.030942245377724126,299,0.036007112104737095
1505,0.31095825144618094,False,0.30780041332016334,0.0004333333333192968,2.1911111111111112,2.229324260305658,0.002028397565922921,81,0.05233338786847789
