neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,fs_fast_response
1232,184.0,16.0,0.38,2.83,2.45,505.0,0.0,True,activated
1233,184.0,16.0,0.78,0.97,0.19,1728.0,0.83,False,non responder
1234,184.0,16.0,-0.57,11.54,12.11,32.5,0.0,True,activated
1235,184.0,16.0,0.11,2.54,2.42,469.5,0.0,True,activated
1236,184.0,16.0,1.49,-0.08,-1.57,1886.0,0.24,False,non responder
1237,184.0,16.0,1.16,5.18,4.02,286.0,0.0,True,activated
1238,184.0,16.0,1.86,-0.34,-2.2,2012.0,0.07,False,non responder
1240,184.0,16.0,2.46,4.41,1.95,995.0,0.13,False,non responder
1241,184.0,16.0,0.75,7.38,6.63,15.0,0.0,True,activated
1242,184.0,16.0,0.16,1.14,0.98,954.0,0.07,False,non responder
1244,184.0,16.0,-0.02,1.46,1.49,532.5,0.0,True,activated
1245,184.0,16.0,-0.19,0.94,1.13,937.5,0.07,False,non responder
1250,184.0,16.0,1.45,2.84,1.39,927.5,0.06,False,non responder
1255,184.0,16.0,1.46,-0.86,-2.33,2433.5,0.0,True,inhibited
1261,184.0,16.0,-0.81,-3.23,-2.42,2849.0,0.0,True,inhibited
1263,184.0,16.0,2.16,0.65,-1.51,1785.0,0.56,False,non responder
1264,184.0,16.0,5.56,-0.21,-5.77,2419.5,0.0,True,inhibited
1265,184.0,16.0,1.45,-0.1,-1.55,2251.5,0.0,True,inhibited
1266,184.0,16.0,2.59,1.34,-1.25,1549.5,2.16,False,non responder
1267,184.0,16.0,-0.53,-1.54,-1.02,2453.0,0.0,True,inhibited
1269,184.0,16.0,-0.52,-2.39,-1.87,2903.5,0.0,True,inhibited
1270,184.0,16.0,0.93,0.4,-0.53,1852.5,0.32,False,non responder
1272,184.0,16.0,0.62,-1.82,-2.44,2853.5,0.0,True,inhibited
1273,184.0,16.0,-0.94,-1.52,-0.57,2008.0,0.02,True,inhibited
1274,184.0,16.0,0.52,3.26,2.74,600.0,0.0,True,activated
1276,184.0,16.0,1.91,-0.17,-2.08,2318.0,0.0,True,inhibited
1277,184.0,16.0,-0.57,-0.84,-0.27,1765.5,0.63,False,non responder
1280,184.0,16.0,0.3,-1.46,-1.76,2478.0,0.0,True,inhibited
1281,184.0,16.0,,,,,,False,non responder
1283,184.0,16.0,1.63,2.87,1.24,1205.5,0.65,False,non responder
1284,184.0,16.0,-0.32,-2.66,-2.34,2887.5,0.0,True,inhibited
1285,184.0,16.0,-0.17,-0.44,-0.27,1686.0,0.56,False,non responder
1287,184.0,16.0,0.72,2.78,2.05,469.5,0.0,True,activated
1289,184.0,16.0,2.21,10.98,8.76,236.5,0.0,True,activated
1291,184.0,16.0,1.11,2.17,1.06,1256.0,0.81,False,non responder
1292,184.0,16.0,0.93,1.84,0.9,1082.0,0.29,False,non responder
1294,184.0,16.0,0.7,-0.49,-1.19,2207.0,0.0,True,inhibited
1299,184.0,16.0,2.09,4.88,2.8,638.5,0.0,True,activated
1301,184.0,16.0,0.75,-0.94,-1.69,2665.0,0.0,True,inhibited
1302,184.0,16.0,1.56,1.12,-0.44,1620.5,1.39,False,non responder
1303,184.0,16.0,0.75,-2.37,-3.11,2917.0,0.0,True,inhibited
1305,184.0,16.0,0.59,1.54,0.95,910.0,0.04,True,activated
1312,184.0,16.0,-0.07,-0.25,-0.18,1566.0,1.43,False,non responder
1314,184.0,16.0,1.83,4.33,2.5,789.5,0.01,True,activated
1315,184.0,16.0,-0.03,-1.69,-1.67,2666.0,0.0,True,inhibited
1316,184.0,16.0,-0.46,-1.95,-1.49,2564.5,0.0,True,inhibited
1317,184.0,16.0,2.22,7.17,4.95,226.5,0.0,True,activated
1318,184.0,16.0,1.77,2.73,0.96,1031.5,0.18,False,non responder
1319,184.0,16.0,1.63,0.27,-1.36,1921.0,0.17,False,non responder
1320,184.0,16.0,0.36,0.48,0.11,1421.5,2.16,False,non responder
1321,184.0,16.0,0.06,-0.5,-0.56,2044.5,0.04,True,inhibited
1322,184.0,16.0,1.15,0.57,-0.58,1766.0,0.52,False,non responder
1329,184.0,16.0,3.14,9.04,5.9,489.0,0.0,True,activated
1330,184.0,16.0,-1.3,-2.92,-1.62,2358.5,0.0,True,inhibited
1331,184.0,16.0,0.46,-1.54,-2.0,2687.5,0.0,True,inhibited
1332,184.0,16.0,-0.33,-1.66,-1.32,2644.0,0.0,True,inhibited
1333,184.0,16.0,1.22,0.98,-0.24,1552.0,1.9,False,non responder
1334,184.0,16.0,2.0,-0.11,-2.11,2224.5,0.0,True,inhibited
1336,184.0,16.0,4.51,1.0,-3.51,1788.5,0.35,False,non responder
1338,184.0,16.0,0.39,-2.04,-2.43,2826.5,0.0,True,inhibited
1339,184.0,16.0,-0.52,-1.56,-1.04,2297.5,0.0,True,inhibited
1341,184.0,16.0,1.05,-1.53,-2.58,2706.0,0.0,True,inhibited
1342,184.0,16.0,3.39,-0.29,-3.68,2362.5,0.0,True,inhibited
1343,184.0,16.0,-0.22,1.15,1.37,661.5,0.0,True,activated
1345,184.0,16.0,6.37,17.08,10.71,34.0,0.0,True,activated
1347,184.0,16.0,1.93,1.88,-0.05,1238.0,0.65,False,non responder
1349,184.0,16.0,1.59,4.98,3.39,415.0,0.0,True,activated
1350,184.0,16.0,-0.14,2.73,2.88,817.5,0.02,True,activated
1353,184.0,16.0,0.21,1.0,0.79,1267.5,0.1,False,non responder
1354,184.0,16.0,0.27,0.2,-0.07,1589.0,1.63,False,non responder
1356,184.0,16.0,-0.1,2.05,2.15,766.5,0.01,True,activated
1357,184.0,16.0,0.21,0.45,0.25,1561.5,1.85,False,non responder
1361,184.0,16.0,0.53,2.81,2.28,607.5,0.0,True,activated
1363,184.0,16.0,0.56,0.88,0.32,1556.5,1.88,False,non responder
1364,184.0,16.0,0.99,1.1,0.12,1382.0,1.85,False,non responder
1366,184.0,16.0,0.41,-0.68,-1.09,2208.0,0.0,True,inhibited
1367,184.0,16.0,0.29,2.39,2.1,1087.5,0.0,True,activated
1368,184.0,16.0,0.0,1.61,1.6,1168.5,0.59,False,non responder
1369,184.0,16.0,0.16,0.8,0.64,1413.0,2.09,False,non responder
1370,184.0,16.0,,,,,,False,non responder
1371,184.0,16.0,,,,,,False,non responder
1373,184.0,16.0,0.57,3.43,2.86,192.0,0.0,True,activated
1378,184.0,16.0,0.3,-1.75,-2.05,2708.0,0.0,True,inhibited
1379,184.0,16.0,0.48,7.56,7.07,221.0,0.0,True,activated
1380,184.0,16.0,0.25,1.13,0.88,1122.5,0.24,False,non responder
1383,184.0,16.0,0.59,5.35,4.76,724.5,0.0,True,activated
1384,184.0,16.0,0.39,1.6,1.21,845.0,0.01,True,activated
1385,184.0,16.0,0.23,6.86,6.63,42.0,0.0,True,activated
1386,184.0,16.0,0.47,-0.12,-0.59,1598.0,1.17,False,non responder
1387,184.0,16.0,1.31,5.84,4.52,274.0,0.0,True,activated
1389,184.0,16.0,0.75,3.23,2.49,607.0,0.0,True,activated
1391,184.0,16.0,,,,,,False,non responder
1392,184.0,16.0,,,,,,False,non responder
1393,184.0,16.0,0.43,1.99,1.56,1250.5,0.66,False,non responder
1394,184.0,16.0,0.4,-1.78,-2.18,2486.5,0.0,True,inhibited
1395,184.0,16.0,-0.01,0.51,0.52,1260.0,0.31,False,non responder
1398,184.0,16.0,0.26,-0.2,-0.46,1857.5,0.17,False,non responder
1401,184.0,16.0,-0.28,-0.62,-0.34,1906.0,0.11,False,non responder
1405,184.0,16.0,0.47,0.46,-0.01,1802.0,0.29,False,non responder
1406,184.0,16.0,1.21,2.61,1.4,1090.0,0.18,False,non responder
1407,184.0,16.0,,,,,,False,non responder
1410,184.0,16.0,-0.02,-0.1,-0.09,1521.5,0.83,False,non responder
1412,184.0,16.0,1.31,2.19,0.88,1514.5,0.86,False,non responder
1413,184.0,16.0,0.54,0.75,0.21,1687.0,0.69,False,non responder
1414,184.0,16.0,1.19,-0.31,-1.49,2254.5,0.0,True,inhibited
1416,184.0,16.0,1.29,-0.28,-1.56,2226.0,0.0,True,inhibited
1417,184.0,16.0,0.75,6.98,6.23,127.0,0.0,True,activated
1426,184.0,16.0,1.36,2.63,1.27,1027.0,0.1,False,non responder
1434,184.0,16.0,1.45,7.72,6.27,499.5,0.0,True,activated
1435,184.0,16.0,0.97,5.89,4.92,303.0,0.0,True,activated
1437,184.0,16.0,0.35,-1.2,-1.55,2440.0,0.0,True,inhibited
