neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,sig,fs_fast_response
1556,184.0,16.0,0.1,-0.02,-0.12,1509.5,1.05,False,non responder
1557,184.0,16.0,-0.87,-1.17,-0.3,1775.0,0.24,False,non responder
1558,184.0,16.0,1.52,0.51,-1.01,1775.5,0.25,False,non responder
1559,184.0,16.0,1.06,2.29,1.23,1160.5,0.24,False,non responder
1560,184.0,16.0,0.35,0.54,0.19,1270.5,0.4,False,non responder
1562,184.0,16.0,0.84,-0.88,-1.72,2127.0,0.0,True,inhibited
1563,184.0,16.0,0.71,1.52,0.81,1048.5,0.08,False,non responder
1564,184.0,16.0,7.74,0.67,-7.08,2158.0,0.0,True,inhibited
1565,184.0,16.0,,,,,,False,non responder
1567,184.0,16.0,0.6,3.24,2.64,540.5,0.0,True,activated
1568,184.0,16.0,1.25,2.1,0.85,1215.0,0.18,False,non responder
1569,184.0,16.0,3.2,-0.81,-4.01,2338.5,0.0,True,inhibited
1570,184.0,16.0,2.05,-1.84,-3.89,2729.0,0.0,True,inhibited
1572,184.0,16.0,1.51,6.49,4.99,536.0,0.0,True,activated
1573,184.0,16.0,2.33,2.67,0.34,1613.0,0.55,False,non responder
1574,184.0,16.0,2.98,13.65,10.68,101.5,0.0,True,activated
1575,184.0,16.0,1.0,3.33,2.33,787.5,0.0,True,activated
1577,184.0,16.0,0.98,0.39,-0.58,1924.0,0.05,True,inhibited
1578,184.0,16.0,14.97,60.61,45.65,189.5,0.0,True,activated
1579,184.0,16.0,0.61,4.16,3.55,858.5,0.0,True,activated
1580,184.0,16.0,3.81,29.12,25.31,19.0,0.0,True,activated
1581,184.0,16.0,0.07,-2.21,-2.28,2033.5,0.01,True,inhibited
1582,184.0,16.0,0.33,-1.49,-1.82,2596.5,0.0,True,inhibited
1584,184.0,16.0,0.08,0.46,0.38,1530.0,0.8,False,non responder
1585,184.0,16.0,-0.58,-0.53,0.05,1422.0,0.81,False,non responder
1586,184.0,16.0,0.44,3.21,2.77,726.0,0.0,True,activated
1587,184.0,16.0,-0.98,-1.2,-0.22,1687.5,0.35,False,non responder
1588,184.0,16.0,0.4,-0.93,-1.34,2424.5,0.0,True,inhibited
1589,184.0,16.0,1.93,6.46,4.53,227.5,0.0,True,activated
1590,184.0,16.0,0.65,1.86,1.21,1262.5,0.36,False,non responder
1592,184.0,16.0,2.01,3.69,1.68,991.0,0.03,True,activated
1593,184.0,16.0,0.6,0.82,0.22,1606.0,0.57,False,non responder
1594,184.0,16.0,1.88,5.47,3.59,785.0,0.0,True,activated
1595,184.0,16.0,1.05,7.59,6.54,324.5,0.0,True,activated
1596,184.0,16.0,0.67,1.03,0.36,2085.5,0.01,True,activated
1598,184.0,16.0,1.14,1.49,0.35,1711.0,0.28,False,non responder
1600,184.0,16.0,-0.07,-0.46,-0.38,1891.5,0.07,False,non responder
1602,184.0,16.0,2.01,3.41,1.4,1033.5,0.07,False,non responder
1603,184.0,16.0,1.1,1.89,0.79,1444.5,0.91,False,non responder
1604,184.0,16.0,4.59,2.31,-2.28,1668.5,0.4,False,non responder
1605,184.0,16.0,3.47,10.93,7.46,570.5,0.0,True,activated
1606,184.0,16.0,3.18,16.2,13.01,80.5,0.0,True,activated
1609,184.0,16.0,0.07,-0.19,-0.26,1601.5,0.58,False,non responder
1610,184.0,16.0,-0.21,-0.95,-0.74,2130.5,0.0,True,inhibited
1611,184.0,16.0,0.44,-0.41,-0.84,2217.5,0.0,True,inhibited
2005,184.0,16.0,0.2,-0.72,-0.92,2213.0,0.0,True,inhibited
2009,184.0,16.0,0.29,-0.12,-0.41,1799.5,0.16,False,non responder
2010,184.0,16.0,0.42,-1.39,-1.8,2608.0,0.0,True,inhibited
2014,184.0,16.0,0.14,-0.26,-0.4,1802.5,0.15,False,non responder
2016,184.0,16.0,0.77,3.08,2.31,385.5,0.0,True,activated
2017,184.0,16.0,0.43,3.8,3.36,497.5,0.0,True,activated
2018,184.0,16.0,-0.18,-1.41,-1.23,2345.5,0.0,True,inhibited
2020,184.0,16.0,1.68,1.06,-0.63,1625.0,0.51,False,non responder
2022,184.0,16.0,0.64,-1.23,-1.87,2111.0,0.0,True,inhibited
2023,184.0,16.0,0.54,3.21,2.68,317.0,0.0,True,activated
2026,184.0,16.0,1.38,9.62,8.25,275.0,0.0,True,activated
2031,184.0,16.0,0.92,-1.86,-2.78,2826.5,0.0,True,inhibited
2034,184.0,16.0,1.8,5.97,4.17,314.5,0.0,True,activated
2035,184.0,16.0,1.97,1.96,-0.01,1533.0,0.8,False,non responder
2036,184.0,16.0,4.08,6.28,2.19,983.0,0.03,True,activated
