A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,div_inv,response,session_name,neuron_type
2Shock,3Post,-0.77,0.13,-0.9,0.06,-15.44,0.0,-0.89,1588,0.9,0.0,True,0.9,activated,hamilton_20,SR
2Shock,3Post,0.92,0.45,0.47,0.07,6.86,0.0,0.4,1589,-0.47,0.0,True,-0.47,inhibited,hamilton_20,SIR
2Shock,3Post,-0.68,0.28,-0.96,0.06,-15.59,0.0,-0.9,1590,0.96,0.0,True,0.96,activated,hamilton_20,SR
2Shock,3Post,0.95,0.36,0.59,0.08,7.32,0.0,0.42,1592,-0.59,0.0,True,-0.59,inhibited,hamilton_20,SIR
2Shock,3Post,0.98,-0.47,1.45,0.05,30.56,0.0,1.76,1593,-1.45,0.0,True,-1.45,inhibited,hamilton_20,SR
2Shock,3Post,0.22,-0.61,0.83,0.06,14.3,0.0,0.83,1594,-0.83,0.0,True,-0.83,inhibited,hamilton_20,SIR
2Shock,3Post,-0.1,-0.5,0.4,0.05,8.32,0.0,0.48,1595,-0.4,0.0,True,-0.4,inhibited,hamilton_20,SIR
2Shock,3Post,1.5,-0.09,1.58,0.06,25.89,0.0,1.49,1596,-1.58,0.0,True,-1.58,inhibited,hamilton_20,SR
2Shock,3Post,-0.27,0.27,-0.54,0.06,-9.46,0.0,-0.55,1598,0.54,0.0,True,0.54,activated,hamilton_20,SR
2Shock,3Post,1.53,0.23,1.31,0.06,22.22,0.0,1.28,1600,-1.31,0.0,True,-1.31,inhibited,hamilton_20,SIR
2Shock,3Post,-0.19,-0.69,0.5,0.06,7.92,0.0,0.46,1602,-0.5,0.0,True,-0.5,inhibited,hamilton_20,SR
2Shock,3Post,-0.1,-0.72,0.62,0.06,10.81,0.0,0.62,1603,-0.62,0.0,True,-0.62,inhibited,hamilton_20,SR
2Shock,3Post,-0.5,-0.35,-0.15,0.06,-2.59,0.03,-0.15,1604,0.15,0.03,False,0.15,non responder,hamilton_20,SIR
2Shock,3Post,0.74,-0.1,0.84,0.07,11.74,0.0,0.68,1605,-0.84,0.0,True,-0.84,inhibited,hamilton_20,SIR
2Shock,3Post,2.05,0.18,1.87,0.09,21.54,0.0,1.24,1606,-1.87,0.0,True,-1.87,inhibited,hamilton_20,SIR
2Shock,3Post,-0.46,-0.01,-0.45,0.08,-5.8,0.0,-0.33,1609,0.45,0.0,True,0.45,activated,hamilton_20,SR
2Shock,3Post,-1.28,-1.46,0.18,0.04,4.04,0.0,0.23,1610,-0.18,0.0,False,-0.18,non responder,hamilton_20,SIR
2Shock,3Post,3.31,0.0,3.31,0.12,26.89,0.0,1.55,1611,-3.31,0.0,True,-3.31,inhibited,hamilton_20,SR
2Shock,3Post,-0.03,-1.21,1.18,0.06,21.29,0.0,1.23,2005,-1.18,0.0,True,-1.18,inhibited,hamilton_25,SR
2Shock,3Post,0.3,-0.83,1.14,0.06,19.53,0.0,1.13,2009,-1.14,0.0,True,-1.14,inhibited,hamilton_25,SR
2Shock,3Post,0.37,-1.05,1.42,0.06,24.36,0.0,1.41,2010,-1.42,0.0,True,-1.42,inhibited,hamilton_25,SR
2Shock,3Post,0.36,-0.33,0.68,0.06,11.71,0.0,0.68,2014,-0.68,0.0,True,-0.68,inhibited,hamilton_25,SR
2Shock,3Post,0.09,-0.88,0.96,0.05,18.46,0.0,1.07,2016,-0.96,0.0,True,-0.96,inhibited,hamilton_25,FF
