neuron_id,width_min,width_basepost,prom_min,prom_basepre,prom_basepost,has_basepre,basepost_width,min_init,basepre_init,min_term,basepost_term,width_all,width_premin,width_minpost,init,term,width_overall
1069,15.768330380460995,31.043712171287893,0.8224803774653113,,0.15550886319815804,False,31.043712171287893,111.89359191813487,,127.66192229859587,161.82777454837893,,,34.16585224978306,111.89359191813487,161.82777454837893,49.93418263024405
1070,24.151000857257074,32.71172718074294,0.8674628588829908,0.17297029932862884,0.258454443815914,True,32.71172718074294,111.21355761399163,81.94929513648222,135.3645584712487,170.59150855024023,88.64221341375801,53.41526333476648,35.226950078991536,81.94929513648222,170.59150855024023,88.64221341375801
1071,18.629514135584984,47.19102518708712,0.8322546198197669,0.12412947562026533,0.1618632118392742,True,47.19102518708712,112.07322689937105,85.10413653330916,130.70274103495603,183.94464249578016,98.840505962471,45.598604501646875,53.241901460824124,85.10413653330916,183.94464249578016,98.840505962471
1072,27.7033753826053,61.019989296036584,0.9860161206430555,0.29413472383973294,0.227756895266375,True,61.019989296036584,113.7070196987943,102.96347787083401,141.4103950813996,203.46594128376591,100.5024634129319,38.44691721056559,62.055546202366315,102.96347787083401,203.46594128376591,100.5024634129319
1074,16.578660060124037,48.56139048425379,0.7844414095040924,,0.17300990054888188,False,48.56139048425379,112.84289827586068,,129.4215583359847,190.75514717660488,,,61.333588840620166,112.84289827586068,190.75514717660488,77.9122489007442
1075,16.19924724507456,45.53801670136889,0.8336368913915791,,0.14157345211522643,False,45.53801670136889,111.78353121402643,,127.98277845910098,178.43867784261562,,,50.455899383514634,111.78353121402643,178.43867784261562,66.6551466285892
1076,15.92861795725436,55.84665374280624,0.8768795793299118,0.13124311793039123,0.23829492382228024,True,55.84665374280624,114.54668667501109,105.3555213973678,130.47530463226545,187.96484827376065,82.60932687639286,25.119783234897653,57.4895436414952,105.3555213973678,187.96484827376065,82.60932687639286
1078,19.895182678624735,77.13020646373786,0.9060625137412429,,0.07577362762059225,False,77.13020646373786,110.52187449796446,,130.4170571765892,219.67107440347297,,,89.25401722688378,110.52187449796446,219.67107440347297,109.14919990550851
1079,13.203452079702473,48.97367434923086,0.8188568490887967,,0.16117661327657073,False,48.97367434923086,113.64583113130982,,126.84928321101229,179.78197500627243,,,52.93269179526014,113.64583113130982,179.78197500627243,66.13614387496261
1081,15.545333360701022,43.5897424583585,0.8711699550898817,,0.11339717306598052,False,43.5897424583585,112.31739691289174,,127.86273027359276,177.74809915820634,,,49.885368884613584,112.31739691289174,177.74809915820634,65.4307022453146
1082,17.245727150369362,45.589342294985386,0.8191288480868115,0.11908575668740906,0.22849951851281947,True,45.589342294985386,114.99059348526652,105.0167943102729,132.23632063563588,188.63016115239617,83.61336684212327,27.219526325362978,56.39384051676029,105.0167943102729,188.63016115239617,83.61336684212327
1084,19.33661719258599,38.145679284058275,0.8470104839761647,,0.14229626854317856,False,38.145679284058275,111.44599430773134,,130.78261150031733,174.34506176794335,,,43.56245026762602,111.44599430773134,174.34506176794335,62.89906746021201
1085,18.42918681385548,65.75660282245286,0.9017674427605425,,0.05980784235821246,False,65.75660282245286,113.28316774362428,,131.71235455747976,220.32995950878356,,,88.6176049513038,113.28316774362428,220.32995950878356,107.04679176515928
1087,31.761276069450687,57.937109965343524,0.9247956598642804,0.20938026294598666,0.2891232041849069,True,57.937109965343524,115.74428501280273,107.37283703307348,147.50556108225342,206.28738880303393,98.91455176996045,40.13272404917994,58.78182772078051,107.37283703307348,206.28738880303393,98.91455176996045
1088,14.775033353211867,57.1032912552601,0.8289411079915011,0.30021609393076965,0.2745921915514543,True,57.1032912552601,115.43478886990631,55.103360194581626,130.20982222311818,192.9687999124271,137.86543971784548,75.10646202853655,62.75897768930892,55.103360194581626,192.9687999124271,137.86543971784548
1093,15.369057402065593,30.461236484413718,0.645369661848852,,0.11559940992777751,False,30.461236484413718,114.29774570719148,,129.66680310925707,161.0844577003286,,,31.41765459107154,114.29774570719148,161.0844577003286,46.78671199313713
1094,15.172511392291767,52.77523402856056,0.90360143939398,0.10960104846508911,0.23622638816448682,True,52.77523402856056,115.5598606198285,98.29908701240458,130.73237201212027,185.13405109855975,86.83496408615517,32.43328499971568,54.401679086439486,98.29908701240458,185.13405109855975,86.83496408615517
1095,16.42806839165742,69.16536473215936,0.8925574208400203,,0.2474804222299697,False,69.16536473215936,113.44540753997278,,129.8734759316302,200.87710488688654,,,71.00362895525635,113.44540753997278,200.87710488688654,87.43169734691377
1096,21.568871800651493,72.34420490893757,0.9482582038460101,0.1337157709644181,0.32992926169044356,True,72.34420490893757,111.08971926130417,94.59907177846294,132.65859106195566,203.55885189990448,108.95978012144154,38.05951928349272,70.90026083794882,94.59907177846294,203.55885189990448,108.95978012144154
1098,11.147832480379464,33.29364232704984,0.7782705803486886,,0.2164629995179268,False,33.29364232704984,113.63250975930265,,124.78034223968211,160.53808838267716,,,35.757746142995046,113.63250975930265,160.53808838267716,46.90557862337451
1100,14.9117354270998,49.65141494446863,0.8691474065681414,,0.11517487725213615,False,49.65141494446863,113.68194664641642,,128.59368207351622,184.2917358974658,,,55.69805382394958,113.68194664641642,184.2917358974658,70.60978925104938
1102,21.041007657458366,77.008631761945,0.9740556943216283,,0.130837750216239,False,77.008631761945,113.31252834651285,,134.35353600397121,218.56900350359408,,,84.21546749962286,113.31252834651285,218.56900350359408,105.25647515708123
1104,55.657592661389174,75.02668039854154,0.9911180607127619,,0.3344015600738188,False,75.02668039854154,73.7386373336644,,129.39622999505357,203.4870401551577,,,74.09081016010413,73.7386373336644,203.4870401551577,129.7484028214933
1105,11.683710538991761,30.144325277333294,0.559084781805935,,0.4851372966000458,False,30.144325277333294,113.53663261331062,,125.22034315230238,156.66610347493904,,,31.44576032263666,113.53663261331062,156.66610347493904,43.12947086162842
1106,14.065145764217277,74.03603413537266,0.7634087436547194,0.16818015714649692,0.29305440341387023,True,74.03603413537266,113.7788783558679,103.34962296582337,127.84402412008518,204.935257335518,101.58563436969463,24.49440115426181,77.09123321543282,103.34962296582337,204.935257335518,101.58563436969463
1107,18.401281135727487,61.532198841574456,0.7508395609401475,,0.14218795866493372,False,61.532198841574456,112.05389738545554,,130.45517852118303,202.86457257979478,,,72.40939405861175,112.05389738545554,202.86457257979478,90.81067519433924
1111,12.833284496379079,53.26667507046449,0.8977958027416223,,0.07332407118770656,False,53.26667507046449,114.73852326351488,,127.57180775989396,190.09546750463778,,,62.523659744743824,114.73852326351488,190.09546750463778,75.3569442411229
1114,19.143876742204895,70.71648568054621,0.8805002397528372,,0.11694498204044812,False,70.71648568054621,111.74427207382325,,130.88814881602815,207.90286575042177,,,77.01471693439362,111.74427207382325,207.90286575042177,96.15859367659851
1116,18.253393397206395,86.54650868647255,0.892464295896378,,0.08615494267715418,False,86.54650868647255,110.75872754130447,,129.01212093851086,221.266055817019,,,92.25393487850815,110.75872754130447,221.266055817019,110.50732827571454
