neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
2244,1187.0,612.0,-0.05,0.11,0.16,330369.5,0.0,True,0.14
2246,1187.0,612.0,-0.2,0.39,0.59,256129.5,0.0,True,1.25
2247,1187.0,612.0,-0.22,0.42,0.63,243922.5,0.0,True,0.8
2248,1187.0,612.0,0.07,-0.14,-0.21,426598.0,0.0,True,-0.44
2249,1187.0,612.0,-0.1,0.2,0.31,294069.5,0.0,True,0.54
2250,1187.0,612.0,0.05,-0.1,-0.15,396047.0,0.0,True,-0.2
2251,1187.0,612.0,0.12,-0.23,-0.34,438534.5,0.0,True,-0.6
2252,1187.0,612.0,0.07,-0.13,-0.19,411316.5,0.0,True,-0.29
2253,1187.0,612.0,-0.14,0.27,0.41,319520.5,0.0,True,0.16
2254,1187.0,612.0,-0.06,0.11,0.17,360448.5,0.82,False,0.36
2257,1187.0,612.0,0.02,-0.03,-0.04,367803.0,0.43,False,-0.02
2260,1187.0,612.0,0.02,-0.04,-0.05,375361.0,0.29,False,-0.11
2266,1187.0,612.0,-0.16,0.31,0.47,274210.5,0.0,True,0.7
2270,1187.0,612.0,-0.09,0.17,0.26,322974.0,0.0,True,0.41
2271,1187.0,612.0,0.2,-0.4,-0.6,482545.5,0.0,True,-1.0
2276,1187.0,612.0,0.01,-0.02,-0.02,366938.5,0.68,False,-0.01
2278,1187.0,612.0,-0.11,0.21,0.32,301009.5,0.0,True,0.47
2279,1187.0,612.0,-0.27,0.51,0.78,205103.5,0.0,True,3.6
2280,1187.0,612.0,-0.13,0.25,0.37,289362.5,0.0,True,0.36
2281,1187.0,612.0,0.04,-0.07,-0.1,385776.5,0.01,True,-0.07
2282,1187.0,612.0,0.28,-0.55,-0.83,528465.5,0.0,True,-1.71
2283,1187.0,612.0,-0.07,0.14,0.22,320731.5,0.0,True,0.25
2284,1187.0,612.0,0.03,-0.06,-0.09,387744.0,0.02,False,-0.15
2285,1187.0,612.0,0.46,-0.9,-1.36,632819.5,0.0,True,-2.19
2286,1187.0,612.0,0.31,-0.6,-0.91,540972.0,0.0,True,-0.74
2287,1187.0,612.0,-0.19,0.38,0.57,251235.0,0.0,True,0.64
2369,1209.0,590.0,-0.14,0.29,0.43,290160.5,0.0,True,0.88
2370,1209.0,590.0,0.26,-0.54,-0.8,509927.5,0.0,True,-1.27
2371,1209.0,590.0,-0.35,0.73,1.08,173182.5,0.0,True,2.99
2372,1209.0,590.0,0.09,-0.18,-0.27,417519.0,0.0,True,-0.83
2373,1209.0,590.0,0.11,-0.23,-0.34,432525.5,0.0,True,-2.09
2374,1209.0,590.0,-0.0,0.01,0.01,355602.0,0.91,False,0.01
2375,1209.0,590.0,-0.38,0.79,1.17,194779.0,0.0,True,5.61
2376,1209.0,590.0,-0.11,0.23,0.34,303539.5,0.0,True,0.6
2377,1209.0,590.0,-0.16,0.32,0.47,299101.0,0.0,True,2.99
2378,1209.0,590.0,-0.01,0.02,0.04,356036.0,0.52,False,0.0
2380,1209.0,590.0,0.13,-0.26,-0.38,434206.0,0.0,True,-2.23
2381,1209.0,590.0,-0.34,0.7,1.04,217568.0,0.0,True,7.26
2386,1209.0,590.0,-0.22,0.45,0.67,239390.5,0.0,True,1.79
2387,1209.0,590.0,0.09,-0.18,-0.27,410085.0,0.0,True,-3.2
2388,1209.0,590.0,-0.16,0.32,0.48,294912.0,0.0,True,0.29
2389,1209.0,590.0,0.07,-0.15,-0.22,386103.0,0.0,True,-0.5
2390,1209.0,590.0,-0.11,0.22,0.33,311463.5,0.0,True,0.61
2391,1209.0,590.0,-0.21,0.42,0.63,245609.5,0.0,True,1.03
2392,1209.0,590.0,0.22,-0.45,-0.67,481570.5,0.0,True,-1.09
2393,1209.0,590.0,0.03,-0.07,-0.1,381632.0,0.01,False,-0.1
2395,1209.0,590.0,-0.06,0.13,0.19,314227.5,0.0,True,1.02
2396,1209.0,590.0,0.28,-0.58,-0.86,515080.0,0.0,True,-1.41
2397,1209.0,590.0,-0.1,0.21,0.31,310211.5,0.0,True,0.46
2398,1209.0,590.0,-0.22,0.45,0.67,238894.5,0.0,True,1.23
2399,1209.0,590.0,-0.1,0.2,0.3,294410.5,0.0,True,0.33
2401,1209.0,590.0,0.08,-0.16,-0.24,387927.5,0.0,True,-0.1
2402,1209.0,590.0,0.06,-0.11,-0.17,395532.5,0.0,True,-0.24
2404,1209.0,590.0,-0.02,0.04,0.06,349761.0,0.18,False,0.02
2635,822.0,977.0,-0.2,0.17,0.37,343991.0,0.0,True,0.42
2636,822.0,977.0,-0.24,0.21,0.45,299268.5,0.0,True,2.09
2637,822.0,977.0,-0.09,0.08,0.17,351630.5,0.0,True,0.26
2640,822.0,977.0,-0.4,0.34,0.73,263170.5,0.0,True,2.82
2641,822.0,977.0,-0.01,0.0,0.01,400722.5,0.95,False,0.07
2642,822.0,977.0,-0.33,0.28,0.62,290718.5,0.0,True,2.48
2643,822.0,977.0,-0.12,0.11,0.23,345529.5,0.0,True,1.13
2644,822.0,977.0,-0.46,0.39,0.85,229182.0,0.0,True,9.2
2645,822.0,977.0,-0.09,0.08,0.17,370908.0,0.01,True,0.48
2646,822.0,977.0,-0.32,0.27,0.59,284071.0,0.0,True,6.1
2648,822.0,977.0,0.06,-0.05,-0.1,413748.5,0.27,False,-0.16
2652,822.0,977.0,0.3,-0.25,-0.55,535300.5,0.0,True,-1.32
2653,822.0,977.0,0.03,-0.03,-0.06,422394.0,0.07,False,-0.45
2655,822.0,977.0,-0.3,0.25,0.56,286718.0,0.0,True,3.51
2657,822.0,977.0,-0.14,0.12,0.26,380719.5,0.0,True,0.09
2658,822.0,977.0,-0.41,0.34,0.75,243190.5,0.0,True,3.77
2659,822.0,977.0,-0.17,0.14,0.3,349283.5,0.0,True,0.28
2660,822.0,977.0,0.09,-0.08,-0.17,436083.0,0.0,True,-0.18
2662,822.0,977.0,-0.26,0.21,0.47,308927.0,0.0,True,2.17
