neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,session_name,group_name,experiment_name,group,neuron_type,width_basepost,mean_firing_rate,cv_isi_burst,sig,response
1069,600.0,1199.0,1.1842378929335004e-17,1.6244301378236108,1.6244301378236108,300075.0,2.0015313338906673e-22,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,31.043712171287893,1.762948517176924,0.9354405859667604,True,activated
1070,600.0,1199.0,-1.4802973661668755e-18,0.20326984111314933,0.20326984111314933,353083.5,0.18365816458041917,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,32.71172718074294,5.95043769121596,0.8295703560641289,False,non responder
1071,600.0,1199.0,2.6645352591003756e-17,0.27534979667566056,0.27534979667566056,342511.0,0.0002887089484457987,hamilton_01,chronic_saline,HAMILTON,SAL,FF,47.19102518708712,9.444791697576658,0.6503707485630601,True,activated
1076,600.0,1199.0,-8.881784197001253e-18,0.163605956663242,0.163605956663242,359099.0,0.5261123696441352,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,55.84665374280624,2.0931717249711914,0.820416237882713,False,non responder
1084,600.0,1199.0,-1.7763568394002505e-17,0.020480562373382277,0.020480562373382295,359399.5,0.7233416973705566,hamilton_01,chronic_saline,HAMILTON,SAL,SIR,38.14567928405828,1.8214534718277733,0.8364701003986172,False,non responder
1088,600.0,1199.0,1.1842378929335004e-17,-1.097727739144865,-1.097727739144865,592306.0,7.941501433818433e-214,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,57.1032912552601,0.9403138765610186,0.9372310105409702,True,inhibited
1089,600.0,1199.0,7.105427357601002e-17,-1.84344900326299,-1.84344900326299,688825.5,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,0.3935459091072775,True,inhibited
1093,600.0,1199.0,-4.7369515717340015e-17,2.3741750054595587,2.3741750054595587,42740.0,1.8218087554530112e-206,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.46123648441372,2.2416128020246147,0.779020150824688,True,activated
1094,600.0,1199.0,0.0,-0.2921832202969051,-0.2921832202969051,428938.5,1.5768032396296957e-11,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,52.77523402856056,0.968057557936516,0.8746362898388502,True,inhibited
1095,600.0,1199.0,-1.4210854715202004e-16,-2.942174027432734,-2.942174027432734,717510.0,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,69.16536473215936,1.7599548644940937,0.8155416343312218,True,inhibited
1096,600.0,1199.0,-5.921189464667502e-18,4.7591632503661,4.7591632503661,17319.0,7.135615820605481e-240,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,72.34420490893757,,1.3844276035700966,True,activated
1098,600.0,1199.0,-1.3026616822268503e-16,-0.11972534635984694,-0.11972534635984682,378715.5,0.052537688184915124,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,33.29364232704984,0.9288512818792743,0.8660313920210936,False,non responder
1099,600.0,1199.0,-7.105427357601002e-17,0.03226061078859109,0.03226061078859116,359843.0,0.9888468333714008,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,1.0700146235331909,1.002437433785203,False,non responder
1100,600.0,1199.0,2.0132044179869504e-16,-2.405182288395255,-2.405182288395255,708097.0,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,49.65141494446863,1.9721776648327416,0.5389844042423905,True,inhibited
1102,600.0,1199.0,-4.026408835973901e-16,-1.81998229856144,-1.8199822985614396,545763.0,5.24162776066327e-81,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,77.008631761945,1.0604405503344354,0.9577985853380804,True,inhibited
1103,600.0,1199.0,-7.105427357601002e-17,2.789013718914527,2.789013718914527,30249.5,2.6432638941211523e-240,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,,True,activated
1104,600.0,1199.0,-9.473903143468003e-17,2.217947872494103,2.217947872494103,101143.0,8.470360695531343e-146,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,75.02668039854154,,,True,activated
1105,600.0,1199.0,-7.105427357601002e-17,-0.9013067777554279,-0.9013067777554278,580671.5,4.2074388283276577e-172,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,30.14432527733329,1.0843138341578076,0.9568026782270932,True,inhibited
1106,600.0,1199.0,-1.1842378929335003e-16,-2.230871972785529,-2.230871972785529,711716.5,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,74.03603413537266,0.9171511056860628,0.3918257257979971,True,inhibited
1107,600.0,1199.0,0.0,-2.217835869134596,-2.217835869134596,683179.5,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,61.532198841574456,1.848889889225928,0.423017663587326,True,inhibited
1108,600.0,1199.0,-1.1842378929335004e-17,26.175860549021262,26.175860549021262,186608.0,3.710169034834507e-89,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,,True,activated
1109,600.0,1199.0,-1.4802973661668754e-17,19.908047219506102,19.908047219506102,112497.0,3.322874358181095e-148,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,,,,True,activated
1110,600.0,1199.0,7.105427357601002e-17,-1.0284435751221388,-1.0284435751221388,595903.0,2.9844755498911875e-217,hamilton_02,citalopram_continuation,HAMILTON,CIT,SIR,,0.6848462208940302,0.9338144009802378,True,inhibited
1111,600.0,1199.0,2.1316282072803005e-16,-2.3293910887549694,-2.3293910887549694,705365.5,0.0,hamilton_02,citalopram_continuation,HAMILTON,CIT,SR,53.26667507046449,1.557159605474432,0.4718301139174745,True,inhibited
