neuron_id,cv_isi,cv_isi_burst,frac_bursts,is_burst,mean_firing_rate,median_burst_interval
2281,0.2707827673564253,0.2720069575129468,2.6844248283398144,5.385164807134505,0.38736558226031087,2.908840519646222
2282,0.26716195814229343,0.27574156128454935,1.3882508856408262,,0.3347188890661468,1.2823570817161685
2283,0.2434274769490989,0.24135796907449736,1.4035874170830602,,0.15222625697900502,1.0941532878190587
2284,0.09974786072269964,0.09571521315426139,0.6657451674568026,,0.2423422854208497,0.547055405544692
2285,0.4506854062801017,0.4506854062801017,,,0.3310458586622167,
2286,0.30804545418579055,0.3076370610329648,7.681145747868607,,0.20696842943279334,7.681145747868608
2287,0.2583698721245383,0.25731610404431254,7.681145747868608,,0.39604014588189596,7.681145747868607
2369,0.1035283210788985,0.10121167793897097,2.8095292934092626,,0.3661217085436052,2.4701842408202164
2370,0.2852978773282401,0.2871605141009314,3.872222359895977,,0.3024759954720301,4.338039425328933
2371,0.3575203853103046,0.3612870479205716,5.302768599108656,,1.0542576923261338,2.884550075030276
2372,0.5516469180939534,0.5602617591276152,1.1750690958781365,3.872983346207417,0.833652243594817,0.8717106894268841
2373,0.45569785861703677,0.4557712802593145,7.3484692283495345,,0.5210165646163067,7.348469228349535
2374,0.6942816581694147,0.6942816581694147,,,0.9509496433775408,
2375,0.7904644329648942,0.8290827513516731,1.4549664822172288,5.830951894845302,1.2748799243306481,1.2106214669426292
2376,0.27423589061090037,0.27423589061090037,,,0.30954521986943195,
2377,0.4647383538754239,0.5140441822037121,1.8051741600815832,2.3804761428476167,0.9396636047675696,1.2229951872091103
2378,,,,,1.7320508075688774,
2380,0.8463503120293839,0.8468411569255323,5.433350255000258,,1.0838106764044027,5.091798165264141
2381,0.3910464679464021,0.47935910103340545,1.5844017557805838,1.7728105208558362,1.1265571142847894,1.429301120774048
2386,0.282057879593934,0.2828552533973753,0.6905377477198389,3.605551275463989,0.5516640307061086,0.5240959836155971
2387,0.5036601951001309,0.521796118552696,0.8042086138674105,4.358898943540672,0.781243255861409,0.4931802140192074
2388,0.9538913376783097,0.9609537809108714,3.1731955653313975,,1.2375624826918303,3.023910887926442
2389,0.7380102155144876,0.7380102155144876,,,0.6581073204283079,
2390,0.17440075608206745,0.17332570445407366,0.7060952778457714,0.8164965809277261,0.43634619966832033,0.5202780382296254
