Method,MI
Observed,0.5528410814264942
Observed,0.5165508781412126
Observed,0.5503858333477447
Observed,0.5727514386031405
Observed,0.47584877875323056
Observed,0.5655562073287419
Observed,0.5066390647692061
Observed,0.5884063544820681
Observed,0.47744965959364294
Observed,0.5263224758216152
Observed,0.5411161289472456
Observed,0.5014524214988046
Observed,0.5346372367092312
Observed,0.5468094967504653
Observed,0.5619563902123177
Observed,0.5245061803954222
Observed,0.5062777938019123
Observed,0.4965608099650498
Observed,0.5307687858804837
Observed,0.564657045106608
Observed,0.5428376508199076
Observed,0.5533089322889565
Observed,0.5726985907028692
Observed,0.523101441329461
Observed,0.5703078125094153
Observed,0.5185151130607563
Observed,0.5480192557884249
Observed,0.5876141683225728
Observed,0.5467753941945253
Observed,0.5898805228159919
Observed,0.5086214057737937
Observed,0.5824794840666752
Observed,0.5710563963189632
Observed,0.5835116663761405
Observed,0.5814004862439551
Observed,0.579789931653224
Observed,0.5967670129529637
Observed,0.4927071502921998
Observed,0.5347345425599133
Observed,0.5486319802424849
Observed,0.5755173150694646
Observed,0.46409348232174197
Observed,0.5020879612311784
Observed,0.4913268962197623
Observed,0.5295621162212742
Observed,0.5283313019411139
Observed,0.5398624848539504
Observed,0.48609736196572056
Observed,0.5405428222588236
Observed,0.5289692683594847
Observed,0.5226869415614466
Observed,0.5381639085984188
Observed,0.5155092227774472
Observed,0.507405369373547
Observed,0.5208693576804597
Observed,0.5471438842662155
Observed,0.5010240785798602
Observed,0.509951845847344
Observed,0.5496999392167367
Observed,0.5647184769246485
Observed,0.5374933677175014
Observed,0.523980744079846
Observed,0.5368127365503327
Observed,0.503732410606466
Observed,0.5047218518170975
Observed,0.5297166494418774
Observed,0.6133051928928451
Observed,0.5141300288411252
Observed,0.5082556467082657
Observed,0.5801447004037268
Observed,0.5709365042738045
Observed,0.5350290840547054
Observed,0.5093390302399191
Observed,0.5299763496443324
Observed,0.4705744169326269
Observed,0.5488365252802668
Observed,0.5455262502089989
Observed,0.5614677953417067
Observed,0.6127279814179332
Observed,0.5055203511304499
Observed,0.548565119488936
Observed,0.5406898947000491
Observed,0.560817745517988
Observed,0.5063853047360507
Observed,0.5718753750981111
Observed,0.5142407833220171
Observed,0.5572776392862613
Observed,0.5211771328573678
Observed,0.5631176167916375
Observed,0.6027309792065996
Observed,0.4976497247977929
Observed,0.5365363720037104
Observed,0.5367153322025386
Observed,0.5337980446560378
Observed,0.539354957920484
Observed,0.559734260635543
Observed,0.5487151947777138
Observed,0.54903314856359
Observed,0.49967590817168767
Observed,0.5859227565521683
Observed,0.5025757294898441
Observed,0.516792012306087
Observed,0.5465620674741757
Observed,0.44998741273387255
Observed,0.522574600410661
Observed,0.568104407251965
Observed,0.4768917165937574
Observed,0.5560463372028543
Observed,0.4937226021839488
Observed,0.48977233035163625
Observed,0.5189717546043685
Observed,0.5307828946597238
Observed,0.5035379735826477
Observed,0.5546347186374336
Observed,0.5820609908894815
Observed,0.5402999203894436
Observed,0.6010956975512965
Observed,0.5329104289253229
Observed,0.5451640251722742
Observed,0.5684435262012488
Observed,0.5221698291566386
Observed,0.5252418560128467
Observed,0.45775501255915063
Observed,0.4789418613045859
Observed,0.5417410319788171
Observed,0.5246288890399611
Observed,0.5094667360315497
Observed,0.5961730780013264
Observed,0.555479233024234
Observed,0.5818156184979354
Observed,0.5543073507244417
Observed,0.5976895172099523
Observed,0.6083102825789782
Observed,0.5515896517629718
Observed,0.542259044868291
Observed,0.47905449910363124
Observed,0.5498619348412459
Observed,0.49473584850072816
Observed,0.5090552506885583
Observed,0.5559952643499462
Observed,0.5161883884927961
Observed,0.5246274866414753
Observed,0.568325961995973
Observed,0.5378575572118169
Observed,0.5591931899070015
Observed,0.5232070600186928
Observed,0.5234715142309883
Observed,0.5933331563644826
Observed,0.5776273024731803
Observed,0.5353012283266089
Observed,0.5097754376175316
Observed,0.5552759491492092
Observed,0.5831099844593706
Observed,0.5070202748673704
Observed,0.5881006637121244
Observed,0.579297203926882
Observed,0.5341011137021794
Observed,0.4937363121243652
Observed,0.4849190466935479
Observed,0.5115460425022764
Observed,0.5975286917838261
Observed,0.5045705341272295
Observed,0.5211997075032077
Observed,0.5343626129199
Observed,0.5416090385119798
Observed,0.5358840889316226
Observed,0.5536296839966478
Observed,0.47939872000724937
Observed,0.4833781143859223
Observed,0.5746287489409811
Observed,0.5250835652190282
Observed,0.5269792394933372
Observed,0.5059980411907268
Observed,0.5403042161513221
Observed,0.503916131810719
Observed,0.5772947337784367
Observed,0.548271339756765
Observed,0.5337751427041493
Observed,0.5575189745030877
Observed,0.5721881286751471
Observed,0.511862312930118
Observed,0.48770171999302503
Observed,0.5509957949390958
Observed,0.5421475718399373
Observed,0.5663774648701216
Observed,0.5708359702619045
Observed,0.5544746746850715
Observed,0.4740051297678006
