neuron_id,neuron_type,score,session_name
1069,SIR,0.07025752263214013,hamilton_01
1070,SIR,0.41520724341620363,hamilton_01
1071,SIR,0.18356732583118174,hamilton_01
1072,SIR,0.07387445735011441,hamilton_01
1074,SIR,0.20516374096780332,hamilton_01
1075,SIR,0.335929467869154,hamilton_01
1076,SIR,0.015499327044190946,hamilton_01
1077,SIR,0.7268172131207391,hamilton_01
1078,SIR,0.06770027837544697,hamilton_01
1079,SIR,0.39095623399077084,hamilton_01
1080,SIR,0.6078517936439157,hamilton_01
1081,SIR,-0.033671447324040704,hamilton_01
1082,SIR,0.5338002971876081,hamilton_01
1084,SIR,0.08304173487149828,hamilton_01
1085,SIR,0.34603216761009814,hamilton_01
1086,SIR,0.23654080054237045,hamilton_01
1087,SIR,0.1511652969706933,hamilton_01
1069,FF,0.10142667541491075,hamilton_01
1070,FF,0.5140187200138341,hamilton_01
1071,FF,0.20370588724048283,hamilton_01
1072,FF,0.08226865975049398,hamilton_01
1074,FF,0.3755748674001492,hamilton_01
1075,FF,0.4149247681980198,hamilton_01
1076,FF,0.059227292440152304,hamilton_01
1077,FF,0.7612582391309413,hamilton_01
1078,FF,0.0911113866221043,hamilton_01
1079,FF,0.40957315705883224,hamilton_01
1080,FF,0.664562289977943,hamilton_01
1081,FF,-0.01899072845062777,hamilton_01
1082,FF,0.5886240542155428,hamilton_01
1084,FF,0.23031563023498675,hamilton_01
1085,FF,0.5039444701258861,hamilton_01
1086,FF,0.44103174180861393,hamilton_01
1087,FF,0.261685939043338,hamilton_01
1069,SR,0.08475012904603885,hamilton_01
1070,SR,0.48262379261482985,hamilton_01
1071,SR,0.1625804312743197,hamilton_01
1072,SR,0.053105172073029824,hamilton_01
1074,SR,0.251655316864233,hamilton_01
1075,SR,0.37064349908135624,hamilton_01
1076,SR,0.0018724267497310487,hamilton_01
1077,SR,0.40205124874108406,hamilton_01
1078,SR,0.016870775342554968,hamilton_01
1079,SR,0.27575188854919613,hamilton_01
1080,SR,0.4490291917081596,hamilton_01
1081,SR,-0.020300726685543814,hamilton_01
1082,SR,0.5198494874978934,hamilton_01
1084,SR,0.18856667266159693,hamilton_01
1085,SR,0.48252235069622157,hamilton_01
1086,SR,0.37828799430166155,hamilton_01
1087,SR,0.2078752490238644,hamilton_01
1088,SIR,0.32104711013080023,hamilton_02
1089,SIR,0.04871059668919604,hamilton_02
1093,SIR,0.3747751835655736,hamilton_02
