pop_true,shuffle,session_name,window,group
0.753233772027183,0.4292197231460427,hamilton_01,w1,SAL
0.6212271076131832,0.46108153632670934,hamilton_01,w2,SAL
0.797530069448243,0.43204484168726554,hamilton_01,comp,SAL
0.7180883577964686,0.41775396139279397,hamilton_02,w1,CIT
0.6773498727864659,0.4517950090997685,hamilton_02,w2,CIT
0.7550709132283142,0.42361601488685724,hamilton_02,comp,CIT
0.7246355137013905,0.4223181785035369,hamilton_13,w1,SAL
0.586549421198306,0.4843073312668751,hamilton_13,w2,SAL
0.6994180767023831,0.41670184058814286,hamilton_13,comp,SAL
0.6788245268594174,0.43804006818854174,hamilton_14,w1,CIT
0.5432991602445869,0.37147559705857996,hamilton_14,w2,CIT
0.7163127319576809,0.5221494328273355,hamilton_14,comp,CIT
0.9702585764924072,0.42552556384678136,hamilton_23,w1,CIT
0.9100227841537137,0.43489558406471807,hamilton_23,w2,CIT
0.9274401057069447,0.41659453671073077,hamilton_23,comp,CIT
0.8917185567876634,0.420299494725318,hamilton_07,w1,SAL
0.6848852829254958,0.47580719370426083,hamilton_07,w2,SAL
0.8859500943774379,0.4371620153956495,hamilton_07,comp,SAL
0.9669052871687379,0.4437211608008368,hamilton_08,w1,CIT
0.8613438928642314,0.46858734410517533,hamilton_08,w2,CIT
0.96490896973223,0.4301451596147546,hamilton_08,comp,CIT
0.9715401289454929,0.4297915607617072,hamilton_19,w1,SAL
0.903886320585557,0.44885247709801535,hamilton_19,w2,SAL
0.9151295252478416,0.4066829913766152,hamilton_19,comp,SAL
0.9833833791500627,0.417942549070445,hamilton_20,w1,CIT
0.9378148298636659,0.4722482125294082,hamilton_20,w2,CIT
0.9698976934162926,0.4146475690913034,hamilton_20,comp,CIT
