pop_true,shuffle,session_name,window,window_start,window_stop
0.4738015067943505,0.47390043957914996,hamilton_01,-0.5 - -0.4,-0.4,-0.4
0.4753055267814822,0.4737062734630094,hamilton_02,-0.5 - -0.4,-0.4,-0.4
0.4736736185829181,0.4737554135998072,hamilton_13,-0.5 - -0.4,-0.4,-0.4
0.47551720843983897,0.4755039830506929,hamilton_14,-0.5 - -0.4,-0.4,-0.4
0.4768364630385483,0.4737087965639959,hamilton_23,-0.5 - -0.4,-0.4,-0.4
0.4736229580889635,0.4738758607598349,hamilton_07,-0.5 - -0.4,-0.4,-0.4
0.4754439366831692,0.47392914837016764,hamilton_08,-0.5 - -0.4,-0.4,-0.4
0.4730685780240177,0.47380057179210855,hamilton_19,-0.5 - -0.4,-0.4,-0.4
0.47361545957882345,0.4739595194233678,hamilton_20,-0.5 - -0.4,-0.4,-0.4
0.47380034118787534,0.4738430861310305,hamilton_01,-0.4 - -0.3,-0.3,-0.3
0.47343649819978284,0.47390383037804307,hamilton_02,-0.4 - -0.3,-0.3,-0.3
0.47362464907402624,0.4737458075499067,hamilton_13,-0.4 - -0.3,-0.3,-0.3
0.4767738951011381,0.47683297204750025,hamilton_14,-0.4 - -0.3,-0.3,-0.3
0.4989061333313945,0.47388188814451665,hamilton_23,-0.4 - -0.3,-0.3,-0.3
0.4736757556199647,0.4737893125536803,hamilton_07,-0.4 - -0.3,-0.3,-0.3
0.47346387764284614,0.4738155900177007,hamilton_08,-0.4 - -0.3,-0.3,-0.3
0.49241068857969506,0.4737461894022292,hamilton_19,-0.4 - -0.3,-0.3,-0.3
0.4755096631544625,0.47385319342044796,hamilton_20,-0.4 - -0.3,-0.3,-0.3
0.4736817028282526,0.47383588395228493,hamilton_01,-0.3 - -0.2,-0.2,-0.2
0.4737220415887595,0.47388504279474225,hamilton_02,-0.3 - -0.2,-0.2,-0.2
0.47367565749912527,0.47370204606859817,hamilton_13,-0.3 - -0.2,-0.2,-0.2
0.47730969844021426,0.47739731651702233,hamilton_14,-0.3 - -0.2,-0.2,-0.2
0.49454299285555176,0.4738304665335094,hamilton_23,-0.3 - -0.2,-0.2,-0.2
0.4735669348066214,0.47380898513701214,hamilton_07,-0.3 - -0.2,-0.2,-0.2
0.4953962196355143,0.4738594282588488,hamilton_08,-0.3 - -0.2,-0.2,-0.2
0.5420941918150388,0.4737917766054514,hamilton_19,-0.3 - -0.2,-0.2,-0.2
