dropped,score,session_name
SR,0.4462951312463275,hamilton_01
SIR,0.42502811783744326,hamilton_01
FF,0.4762350019733761,hamilton_01
SR,0.47923048334623736,hamilton_02
SIR,0.5390402543584856,hamilton_02
FF,0.5529261760335824,hamilton_02
SR,0.4351812281402256,hamilton_13
SIR,0.4537551374652676,hamilton_13
FF,0.454607138999841,hamilton_13
SR,,hamilton_14
SIR,,hamilton_14
FF,,hamilton_14
SR,0.4872477482153618,hamilton_23
SIR,0.417047534511746,hamilton_23
FF,0.46419429931011635,hamilton_23
SR,0.4772292881109264,hamilton_07
SIR,0.4668105026630389,hamilton_07
FF,0.48801703489804016,hamilton_07
SR,0.46410156808120073,hamilton_08
SIR,0.6060462550381271,hamilton_08
FF,0.6393543478437328,hamilton_08
SR,0.6281552363413015,hamilton_19
SIR,0.7155602025601085,hamilton_19
FF,0.7135296321608257,hamilton_19
SR,0.4708665848187185,hamilton_20
SIR,0.43229384064923515,hamilton_20
FF,0.5246633971998205,hamilton_20
