,fold,offset,f1score,session_name
0,0,-0.5,0.5679630342703119,hamilton_01
1,1,-0.5,0.5577608632816262,hamilton_01
2,2,-0.5,0.5344709228204374,hamilton_01
3,3,-0.5,0.5735886107020127,hamilton_01
4,4,-0.5,0.44110671936758894,hamilton_01
5,0,-0.4,0.60723912206392,hamilton_01
6,1,-0.4,0.6219464144996061,hamilton_01
7,2,-0.4,0.5742574257425742,hamilton_01
8,3,-0.4,0.5279904544098639,hamilton_01
9,4,-0.4,0.51004851004851,hamilton_01
10,0,-0.3,0.6158377595364557,hamilton_01
11,1,-0.3,0.5191919191919192,hamilton_01
12,2,-0.3,0.5643137254901962,hamilton_01
13,3,-0.3,0.5146611748553496,hamilton_01
14,4,-0.3,0.5500445500445501,hamilton_01
15,0,-0.2,0.5587811208305297,hamilton_01
16,1,-0.2,0.6565656565656566,hamilton_01
17,2,-0.2,0.5939001667157007,hamilton_01
18,3,-0.2,0.49186149748446284,hamilton_01
19,4,-0.2,0.6234301412872841,hamilton_01
20,0,-0.1,0.47914057230947105,hamilton_01
21,1,-0.1,0.5488461538461539,hamilton_01
22,2,-0.1,0.4850980392156862,hamilton_01
23,3,-0.1,0.5009881422924902,hamilton_01
24,4,-0.1,0.48469387755102045,hamilton_01
25,0,-0.0,0.6661532537543319,hamilton_01
26,1,-0.0,0.5914020517830972,hamilton_01
27,2,-0.0,0.6020488573680063,hamilton_01
28,3,-0.0,0.6925871379479627,hamilton_01
29,4,-0.0,0.5740904187506128,hamilton_01
30,0,0.1,0.8128440366972477,hamilton_01
31,1,0.1,0.8512107361664885,hamilton_01
32,2,0.1,0.8415686274509804,hamilton_01
33,3,0.1,0.7891021179278115,hamilton_01
34,4,0.1,0.8118073943316662,hamilton_01
35,0,0.2,0.76140350877193,hamilton_01
36,1,0.2,0.6756912997398593,hamilton_01
37,2,0.2,0.7254901960784315,hamilton_01
38,3,0.2,0.77002277002277,hamilton_01
39,4,0.2,0.6831372549019608,hamilton_01
40,0,0.3,0.5446428571428572,hamilton_01
41,1,0.3,0.7054293415479399,hamilton_01
42,2,0.3,0.5900405900405901,hamilton_01
43,3,0.3,0.6313504981750024,hamilton_01
44,4,0.3,0.6020488573680064,hamilton_01
45,0,0.4,0.6560362269968205,hamilton_01
46,1,0.4,0.6167260815107428,hamilton_01
47,2,0.4,0.5381057905385875,hamilton_01
48,3,0.4,0.6330878743249877,hamilton_01
49,4,0.4,0.5992063492063492,hamilton_01
50,0,0.5,0.5783908487936172,hamilton_01
51,1,0.5,0.5684615384615385,hamilton_01
52,2,0.5,0.626877165960724,hamilton_01
53,3,0.5,0.5243328100470956,hamilton_01
54,4,0.5,0.5330054107230693,hamilton_01
55,0,0.6,0.6851851851851851,hamilton_01
56,1,0.6,0.676190476190476,hamilton_01
57,2,0.6,0.5961371318203766,hamilton_01
58,3,0.6,0.5837912087912088,hamilton_01
59,4,0.6,0.6721101819970488,hamilton_01
60,0,0.7,0.5446428571428571,hamilton_01
61,1,0.7,0.44907407407407407,hamilton_01
62,2,0.7,0.5868055555555556,hamilton_01
63,3,0.7,0.5037342767295597,hamilton_01
64,4,0.7,0.5441522762951335,hamilton_01
65,0,0.8,0.5294117647058824,hamilton_01
66,1,0.8,0.5376428852975956,hamilton_01
67,2,0.8,0.5286869464767039,hamilton_01
68,3,0.8,0.5140893470790378,hamilton_01
69,4,0.8,0.5247058823529411,hamilton_01
70,0,0.9,0.5158384190642256,hamilton_01
71,1,0.9,0.5131333005410723,hamilton_01
72,2,0.9,0.49425625920471283,hamilton_01
73,3,0.9,0.5441522762951334,hamilton_01
74,4,0.9,0.5808300395256917,hamilton_01
75,0,1.0,0.5933093455217349,hamilton_01
