neuron_id,F1 Score,session_name,window,window_start,window_stop
1069,0.4737910580318476,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1070,0.47379385787799383,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1071,0.4737970055561379,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1072,0.4737793592660056,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1074,0.473799157218105,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1075,0.4737881233998847,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1076,0.47379601068691396,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1077,0.47380166798961143,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1078,0.4738031966016492,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1079,0.47380198860320155,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1080,0.4737934985110587,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1081,0.4737943868697485,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1082,0.47380158746510226,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1084,0.4737965827066442,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1085,0.47375951755967743,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1086,0.47378672427359625,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1087,0.47379361039779944,hamilton_01,-0.5 - -0.4,-0.4,-0.4
1088,0.47361613502066574,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1089,0.4736030470387558,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1093,0.4736121610049544,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1094,0.47361066499432136,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1095,0.4736103710185562,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1096,0.47361574536216383,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1098,0.47358145474505947,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1099,0.4736139395275803,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1100,0.4736096529681372,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1102,0.4736112454648132,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1103,0.47361117670656494,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1104,0.4736073966772823,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1105,0.4736168247785629,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1106,0.4736103291151256,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1107,0.473613046770081,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1108,0.47360160643433585,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1109,0.4736026985097072,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1110,0.47361475292118016,hamilton_02,-0.5 - -0.4,-0.4,-0.4
1111,0.4736128549747658,hamilton_02,-0.5 - -0.4,-0.4,-0.4
