neuron_id,ensemble,sig,ensemble_orig,session_name,block,bin_width,ensemble_id
1069,-1,False,0,hamilton_01,pre,0.05,-1
1069,-1,False,0,hamilton_01,pre,0.05,-1
1070,-1,False,0,hamilton_01,pre,0.05,-1
1070,-1,False,0,hamilton_01,pre,0.05,-1
1074,-1,False,0,hamilton_01,pre,0.05,-1
1074,-1,False,0,hamilton_01,pre,0.05,-1
1075,-1,False,0,hamilton_01,pre,0.05,-1
1075,-1,False,0,hamilton_01,pre,0.05,-1
1076,-1,False,0,hamilton_01,pre,0.05,-1
1076,-1,False,0,hamilton_01,pre,0.05,-1
1077,-1,False,0,hamilton_01,pre,0.05,-1
1077,-1,False,0,hamilton_01,pre,0.05,-1
1078,-1,False,0,hamilton_01,pre,0.05,-1
1078,-1,False,0,hamilton_01,pre,0.05,-1
1079,-1,False,0,hamilton_01,pre,0.05,-1
1079,-1,False,0,hamilton_01,pre,0.05,-1
1082,-1,False,0,hamilton_01,pre,0.05,-1
1082,-1,False,0,hamilton_01,pre,0.05,-1
1084,-1,False,0,hamilton_01,pre,0.05,-1
1084,-1,False,0,hamilton_01,pre,0.05,-1
1085,-1,False,0,hamilton_01,pre,0.05,-1
1085,-1,False,0,hamilton_01,pre,0.05,-1
1071,-1,False,1,hamilton_01,pre,0.05,-1
1071,-1,False,1,hamilton_01,pre,0.05,-1
1072,-1,False,1,hamilton_01,pre,0.05,-1
1072,-1,False,1,hamilton_01,pre,0.05,-1
1080,-1,False,1,hamilton_01,pre,0.05,-1
1080,-1,False,1,hamilton_01,pre,0.05,-1
1086,-1,False,1,hamilton_01,pre,0.05,-1
1086,-1,False,1,hamilton_01,pre,0.05,-1
1087,-1,False,1,hamilton_01,pre,0.05,-1
1087,-1,False,1,hamilton_01,pre,0.05,-1
1088,-1,False,0,hamilton_02,pre,0.05,-1
1088,-1,False,0,hamilton_02,pre,0.05,-1
1088,-1,False,0,hamilton_02,pre,0.05,-1
1088,-1,False,0,hamilton_02,pre,0.05,-1
1108,-1,False,0,hamilton_02,pre,0.05,-1
1108,-1,False,0,hamilton_02,pre,0.05,-1
1108,-1,False,0,hamilton_02,pre,0.05,-1
1108,-1,False,0,hamilton_02,pre,0.05,-1
1107,-1,False,0,hamilton_02,pre,0.05,-1
1107,-1,False,0,hamilton_02,pre,0.05,-1
1107,-1,False,0,hamilton_02,pre,0.05,-1
1107,-1,False,0,hamilton_02,pre,0.05,-1
1106,-1,False,0,hamilton_02,pre,0.05,-1
1106,-1,False,0,hamilton_02,pre,0.05,-1
1106,-1,False,0,hamilton_02,pre,0.05,-1
1106,-1,False,0,hamilton_02,pre,0.05,-1
1105,-1,False,0,hamilton_02,pre,0.05,-1
1105,-1,False,0,hamilton_02,pre,0.05,-1
1105,-1,False,0,hamilton_02,pre,0.05,-1
1105,-1,False,0,hamilton_02,pre,0.05,-1
1104,-1,False,0,hamilton_02,pre,0.05,-1
1104,-1,False,0,hamilton_02,pre,0.05,-1
1104,-1,False,0,hamilton_02,pre,0.05,-1
1104,-1,False,0,hamilton_02,pre,0.05,-1
1103,-1,False,0,hamilton_02,pre,0.05,-1
1103,-1,False,0,hamilton_02,pre,0.05,-1
1103,-1,False,0,hamilton_02,pre,0.05,-1
1103,-1,False,0,hamilton_02,pre,0.05,-1
1102,-1,False,0,hamilton_02,pre,0.05,-1
1102,-1,False,0,hamilton_02,pre,0.05,-1
1102,-1,False,0,hamilton_02,pre,0.05,-1
1102,-1,False,0,hamilton_02,pre,0.05,-1
1100,-1,False,0,hamilton_02,pre,0.05,-1
1100,-1,False,0,hamilton_02,pre,0.05,-1
1100,-1,False,0,hamilton_02,pre,0.05,-1
1100,-1,False,0,hamilton_02,pre,0.05,-1
1099,-1,False,0,hamilton_02,pre,0.05,-1
1099,-1,False,0,hamilton_02,pre,0.05,-1
1099,-1,False,0,hamilton_02,pre,0.05,-1
1099,-1,False,0,hamilton_02,pre,0.05,-1
1096,-1,False,0,hamilton_02,pre,0.05,-1
1096,-1,False,0,hamilton_02,pre,0.05,-1
1096,-1,False,0,hamilton_02,pre,0.05,-1
1096,-1,False,0,hamilton_02,pre,0.05,-1
1093,-1,False,1,hamilton_02,pre,0.05,-1
1093,-1,False,1,hamilton_02,pre,0.05,-1
1093,-1,False,1,hamilton_02,pre,0.05,-1
1093,-1,False,1,hamilton_02,pre,0.05,-1
1089,-1,False,1,hamilton_02,pre,0.05,-1
