neuron_id,ensemble,sig,ensemble_orig,session_name,shuffle,bin_width
1087,-1,False,0,hamilton_01,False,0.05
1085,-1,False,0,hamilton_01,False,0.05
1071,-1,False,0,hamilton_01,False,0.05
1072,-1,False,0,hamilton_01,False,0.05
1080,-1,False,0,hamilton_01,False,0.05
1086,-1,False,0,hamilton_01,False,0.05
1084,-1,False,1,hamilton_01,False,0.05
1082,-1,False,1,hamilton_01,False,0.05
1081,-1,False,1,hamilton_01,False,0.05
1069,-1,False,1,hamilton_01,False,0.05
1077,-1,False,1,hamilton_01,False,0.05
1076,-1,False,1,hamilton_01,False,0.05
1075,-1,False,1,hamilton_01,False,0.05
1074,-1,False,1,hamilton_01,False,0.05
1070,-1,False,1,hamilton_01,False,0.05
1079,-1,False,1,hamilton_01,False,0.05
1078,-1,False,1,hamilton_01,False,0.05
1102,2,True,0,hamilton_02,False,0.05
1109,2,True,0,hamilton_02,False,0.05
1108,2,True,0,hamilton_02,False,0.05
1107,2,True,0,hamilton_02,False,0.05
1105,2,True,0,hamilton_02,False,0.05
1104,2,True,0,hamilton_02,False,0.05
1103,2,True,0,hamilton_02,False,0.05
1100,2,True,0,hamilton_02,False,0.05
1111,2,True,0,hamilton_02,False,0.05
1098,2,True,0,hamilton_02,False,0.05
1096,2,True,0,hamilton_02,False,0.05
1093,2,True,0,hamilton_02,False,0.05
1110,-1,False,1,hamilton_02,False,0.05
1095,-1,False,1,hamilton_02,False,0.05
1106,-1,False,1,hamilton_02,False,0.05
1094,-1,False,1,hamilton_02,False,0.05
1089,-1,False,1,hamilton_02,False,0.05
1099,-1,False,1,hamilton_02,False,0.05
1088,-1,False,1,hamilton_02,False,0.05
1123,-1,False,0,hamilton_12,False,0.05
1141,-1,False,0,hamilton_12,False,0.05
1137,-1,False,1,hamilton_12,False,0.05
1136,-1,False,1,hamilton_12,False,0.05
1133,-1,False,1,hamilton_12,False,0.05
1121,-1,False,1,hamilton_12,False,0.05
1124,-1,False,1,hamilton_12,False,0.05
1127,-1,False,1,hamilton_12,False,0.05
1128,-1,False,1,hamilton_12,False,0.05
1114,-1,False,2,hamilton_12,False,0.05
1129,-1,False,2,hamilton_12,False,0.05
